Hour,Load1 (kW),Load2 (kW),Load3 (kW)
0,175.78558504960114,167.28925618006446,93.64445292458213
1,194.6295826122031,134.38775689063846,142.83670119791964
2,167.56416717526952,145.60576316741896,148.1032187015344
3,174.7888602649849,175.83611702695464,115.92403338595781
4,155.84236720677615,149.74654414323984,122.71827657299966
5,125.95226808072015,158.86166670698364,109.00240906782682
6,153.8894194529506,155.944388853058,100.0986085728668
7,191.10670858805673,130.43505544285168,102.41309704561172
8,122.07083386608397,177.82102031882997,138.88985503151252
9,172.16456419225517,163.761383415053,138.7604656911608
10,129.09022607315512,179.85429908228474,132.84473468217786
11,135.18622552539455,115.9191489405032,116.37464265188689
12,183.42448996152362,172.18773918393467,134.9814101575838
13,195.2547889674159,115.49178371747519,117.37746138853434
14,122.90528901941435,130.0595296623582,151.09888850341224
15,155.31247041312236,125.14435212860391,148.49536677946435
16,177.9723915805739,154.82194572559467,139.73601728784405
17,124.86462930880498,162.9873747158666,133.7331512957241
18,133.78464779999325,105.77728767305796,122.99989405606661
19,142.27350760227614,154.26348358840124,159.77391449551794
20,172.11639399952685,139.76334633681228,121.57799799411777
21,168.8141876559032,146.19315086153676,156.26451646675446
22,133.42006754186204,127.93212677270498,156.7092341597962
23,177.9432810991067,148.50072223345012,128.43000560229024
